Title;Rating Number;Rating Word;Review;Author Information
Battlefield 5 Review - On The Front Lines;8;Great; It's a fine execution of a familiar formula. There are rough spots, but Battlefield V incorporates small, effective tweaks and truly shines in the more focused objective-based modes.;Battlefield 1942 was a major reason Michael got into PC gaming as a kid, and he's played every entry since (to varying degrees). He still considers Battlefield 2 to be his favorite multiplayer experience ever. Michael spent 35 hours with the PC version of Battlefield V for review
The Quiet Man Review - Silence Is Not Golden;2;Terrible; The Quiet Man is an almost completely silent beat-em-up that combines badly staged live-action drama with a clunky, broken combat system.;Calum Marsh endured three long, unhappy hours with The Quiet Man and politely declines the opportunity to play through it again with sound. He played on PS4.
Overkill's The Walking Dead Review - DOA;3;Bad; Overkill's The Walking Dead is a collection of poorly conceived ideas and uninspired gameplay, neither of which help its lifeless narrative and repetitive missions.;Alessandro braved the undead over 15 hours of play, which involved numerous hours of grinding and boring loot drops to simply progress the uninspired story. He's not exactly looking forward to the next season. Code was provided by the publisher for the purposes of this review.
Full Metal Furies Review - Puzzle-Brawler;8;Great; From the creators of Rogue Legacy, Full Metal Furies is a challenging co-op game that seamlessly ties together the brawler and puzzle genres while also telling a humorous story.;Jordan Ramee played Full Metal Furies for the first time on Xbox One, where he and his friends only managed to figure out the game's hardest riddles after they penciled in pages of notes and discussed possible solutions for hours. For the purposes of this review, he replayed the game on Nintendo Switch using a code provided by Cellar Door Games.
11-11: Memories Retold Review - Modernist Warfare;7;Good; 11-11: Memories Retold is an exquisitely painted, touchingly told and occasionally tedious war story.;David Wildgoose was very pleased to discover the cat Kurt befriends early in the game is actually a playable character later on. More games where you get to press X to meow, please.
Spyro Reignited Trilogy Review - Fan The Flames;8;Great; Spyro glides into the current gen prettier than ever and as fun as ever.;Justin Clark played through all three Spyro games in about four hours each. In case you were wondering, no, L1 + Triangle does nothing this time. A code was provided by the publisher for the purposes of this review.
Tetris Effect Review - Feel The Groove;9;Superb; Tetris Effect transforms the classic puzzle game through the power of music. It's hard to put down, and even harder to stop thinking about.;Peter completed Tetris Effects' Journey mode on Normal difficulty and spent a bit of time with each of the optional alternate modes before writing his review. A complimentary copy of the game was provided by Enhance Inc.
Pokemon Let's Go Pikachu And Let's Go Eevee Review;8;Great; A beautiful reimagining of one of the series' most beloved adventures.;Pokemon Red was the first game Jake ever played, so returning to Kanto was a big deal to him. After 45 hours, he completed the Kanto Pokedex and caught two shinies. Review copies were provided by Nintendo.
Sinner: Sacrifice for Redemption Review - Trials and Tribulations;6;Fair; Sinner: Sacrifice for Redemption is a bonafide boss rush buffet with an inventive twist, though its aesthetic presentation quickly grows dull.;Ginny Woo's love for Souls-likes borders on the masochistic. She spent 20 hours happily traipsing around in Sinner: Sacrifice for Redemption's swamp of religious horror and aggressively morose orchestral music on Switch, PS4 and PC thanks to codes provided by the publisher for review purposes.
Diablo 3: Eternal Collection Switch Review - Better With Age;9;Superb; Diablo 3 remains a clever, rewarding, and oftentimes brilliant action-RPG that has made a near seamless transition to Nintendo Switch, six years after its original release.;Mike Mahardy has spent more than 600 hours playing Diablo 3 throughout his life (50 of which took place on Switch) and he somehow still doesn't regret it.
